Lambda11(-),Lambda22(-),Lambda33(-),I1,I41,I42,Energy,Sigma11(KPa),Sigma22(KPa)
1.006122448979592,1.0122448979591836,0.9818916443106719,3.0010333169522045,1.0122823823406915,1.024639733444398,-0.20677939,0.67162657,0.620018
1.0122448979591836,1.0122448979591836,0.9759527835587931,3.001763302624952,1.024639733444398,1.024639733444398,-0.2024597,0.8560548,0.69956684
1.0183673469387755,1.0122448979591836,0.9700853319542311,3.002777338028269,1.0370720533111204,1.024639733444398,-0.19643998,1.0494471,0.77533436
1.0244897959183674,1.0122448979591836,0.9642880092533093,3.0040704401749663,1.0495793419408581,1.024639733444398,-0.18875027,1.2523508,0.8475728
1.030612244897959,1.0122448979591836,0.9585595656339829,3.005637773646419,1.0621615993336109,1.024639733444398,-0.17941904,1.4652982,0.91651726
1.036734693877551,1.0122448979591836,0.9528987807975616,3.007474645379257,1.0748188254893793,1.024639733444398,-0.16847497,1.6888142,0.98239565
1.042857142857143,1.0122448979591836,0.9473044631020769,3.0095764996656755,1.0875510204081633,1.024639733444398,-0.15594488,1.923408,1.0454216
1.0489795918367346,1.0122448979591836,0.9417754487259948,3.011938913357409,1.1003581840899623,1.024639733444398,-0.1418556,2.1695843,1.1057997
1.0551020408163265,1.0122448979591836,0.936310600861047,3.0145575912639497,1.113240316534777,1.024639733444398,-0.12623268,2.4278345,1.1637235
1.0612244897959184,1.0122448979591836,0.9309088089330025,3.0174283617360667,1.1261974177426073,1.024639733444398,-0.109101,2.6986427,1.219377
1.0673469387755101,1.0122448979591836,0.9255689878492569,3.020547172426148,1.1392294877134526,1.024639733444398,-0.09074825,2.9327564,1.259007
1.073469387755102,1.0122448979591836,0.9202900772721697,3.0239100862173274,1.1523365264473135,1.024639733444398,-0.07099438,3.1664362,1.2928772
1.079591836734694,1.0122448979591836,0.9150710409171291,3.027513277313746,1.16551853394419,1.024639733444398,-0.048143566,3.386528,1.3254018
1.0857142857142856,1.0122448979591836,0.9099108658743634,3.0313530274847134,1.1787755102040816,1.024639733444398,-0.023719668,3.6106763,1.3546319
1.0918367346938775,1.0122448979591836,0.9048085619535726,3.0354257224558787,1.1921074552269888,1.024639733444398,0.0022215843,3.8394547,1.3806424
1.0979591836734695,1.0122448979591836,0.8997631610504857,3.039727848440872,1.2055143690129115,1.024639733444398,0.029657543,4.073064,1.4035482
1.1040816326530611,1.0122448979591836,0.8947737165344941,3.0442559888071985,1.218996251561849,1.024639733444398,0.058566153,4.3117027,1.423461
