Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.058587,1.045798,0.9032867436926312,0.39546156416006856,2.901385252905323,2.6537445587313364
1.059615,1.046379,0.901909345984855,0.3998438972620382,2.9491631038371384,2.6924038779995314
1.061606,1.047062,0.8996306373764149,0.4074119156415422,3.0351582111060846,2.75211771916093
1.06322,1.048314,0.8971921743121594,0.41546850088011844,3.1156422970553947,2.8246523456347727
1.064022,1.049186,0.8957708084943978,0.42019327399120543,3.15947247918432,2.8693468526278476
1.065342,1.05031,0.8937034832316023,0.4272890146433487,3.2269792713453853,2.9322411666855484
1.066805,1.051737,0.8912669552695923,0.43581197359631446,3.304660045079177,3.0083025449796166
1.067529,1.052546,0.8899779221732769,0.4403851634497028,3.344701116182242,3.0495401848840507
1.070051,1.053855,0.8867774940578012,0.45245893652398894,3.461734310425932,3.1412160757140644
1.071104,1.055128,0.8848368698278909,0.459690539538147,3.521681651911482,3.2047395648838837
1.073051,1.055888,0.8825956490447618,0.4686996961298711,3.608786204332441,3.267133122050211
1.074216,1.057693,0.8801339084615899,0.4781994158876243,3.6813613143974315,3.3514405947350205
1.074349,1.058319,0.8795044131494393,0.4805596408145534,3.695957727947037,3.3756682019255715
1.075913,1.060075,0.8767711528763179,0.49164069841520275,3.78355503095932,3.465943322035944
1.078107,1.060892,0.8743130478549321,0.5024089120516333,3.8821484084498135,3.535562157965149
1.079705,1.061732,0.8723283370756848,0.5111882327685879,3.95794926076565,3.594985216982444
1.080623,1.063134,0.8704378862613377,0.5192713401075445,4.015422408623901,3.661350602860545
1.082764,1.063624,0.8683165202950014,0.5293549595783911,4.108113292955574,3.7191765049586625
1.083818,1.06471,0.8665872747853514,0.5372028737700197,4.166636113160351,3.7773754130222432
1.085394,1.065182,0.8649455419670263,0.5452360377271979,4.237085355082213,3.824151940815147
1.087257,1.065784,0.8629757488253884,0.5550377684764589,4.321422904957697,3.881206822195163
1.0881,1.067397,0.8610040847947794,0.5641640189586169,4.3799494905804925,3.9543902243052083
1.089799,1.068587,0.8587044401082324,0.5756396045425876,4.467159507468376,4.029505630543919
1.091479,1.06922,0.8568751377335847,0.5852422653714774,4.545597651805142,4.084828219415488
1.092748,1.070589,0.8547856110251015,0.5958222080142451,4.618616374174902,4.1584252628950065
1.094171,1.07134,0.8530755204329202,0.6049903606818698,4.688937156116604,4.213354530749302
1.096342,1.07188,0.8509573239975314,0.6169559933953679,4.787637817777495,4.275957662114284
1.097198,1.072889,0.8494937736895929,0.624725426134352,4.838898794816634,4.329231529310762
1.099223,1.074311,0.8468064757434294,0.6397185064428008,4.946014704294307,4.421216366246795
1.100946,1.075679,0.8444059637633452,0.6533301356121296,5.040215056731482,4.505676104115199
1.101122,1.076024,0.8440003022405325,0.6555370094459562,5.053025548149091,4.5217345561000455
1.102639,1.077142,0.8419643252513263,0.6674096326787731,5.135219537336349,4.593474058891106
1.104173,1.077644,0.8404029370154387,0.6770711276442346,5.209125021232737,4.643623211626185
1.106037,1.079142,0.8378219783688049,0.692587177055767,5.313355122646694,4.737298940793689
1.107678,1.079491,0.8363102969899973,0.7024825752486892,5.390681289004285,4.784901253391307
1.109568,1.081754,0.8331391964375,0.7218179547055088,5.509634337508449,4.908462638270611
1.11167,1.082942,0.8306516208565374,0.7381155386297926,5.6222290449558745,4.998071583980604
1.114101,1.084672,0.8275171566698529,0.7588867916042752,5.75956952625015,5.1160369634759135
1.115349,1.086322,0.8253357226274486,0.7730927819832993,5.842955965431472,5.205595657756173
1.116363,1.087828,0.8234444994323477,0.7855288451169515,5.913815682905596,5.285030058404044
1.117712,1.08885,0.8216787034084124,0.7978511547278806,5.992869933335173,5.35445467990443
1.119486,1.089274,0.8200572937993924,0.8100647977318234,6.08275657819789,5.411704447956818
1.120538,1.090157,0.8186237931533041,0.820295543449017,6.146821170505355,5.469898240368549
1.122494,1.090635,0.8168391430575352,0.834138599180807,6.247798508070866,5.534596921235093
1.124989,1.091738,0.8142041225384632,0.8544255559239387,6.386518237504771,5.637196808171562
1.125767,1.093328,0.8124581800614246,0.8667849896606037,6.4511601551171776,5.717625099106597
