Lambda11(-),Lambda22(-),Sigma11(KPa),Sigma22(KPa),Energy_exp,Lambda33(-),I1,I41,I42
1.040921,1.095257,3.532,3.139,0.2704541990108186,0.8771344978230906,3.052469351561365,1.083516528241,1.0843910278172195
1.042269,1.096889,3.5360000000000005,3.253,0.2797864842542574,0.8746967199065152,3.054584498497216,1.0863246683609995,1.0872017759946957
1.042786,1.098824,3.642,3.3999999999999995,0.2874293482876076,0.8727235023098906,3.056463136256041,1.087402641796,1.088282846735389
1.0443559999999998,1.100489,3.674,3.482,0.298142676734262,0.8700931065985366,3.058817508007292,1.0906794547359997,1.0915623291685188
1.045447,1.102466,3.65,3.521,0.308250946205107,0.8676264327171482,3.061166337714484,1.092959429809,1.0938454792129626
1.046453,1.103473,3.616,3.636,0.3150123187890139,0.8660013347860833,3.062674854789277,1.0950638812089997,1.0959515499994
1.047227,1.105379,3.657,3.784,0.3241036884640273,0.8638691391983845,3.064817012829357,1.0966843895289995,1.097575127461824
1.048046,1.107397,3.726,3.856,0.33395705794464,0.8616210738906754,3.067119408697521,1.098400418116,1.0992944113122791
1.047918,1.108554,3.796,3.895,0.3375446705701908,0.8608269328262113,3.0680471139189818,1.0981321347239998,1.0990279969707977
1.049253,1.10871,3.8,4.001,0.3429356096306725,0.8596107059318383,3.0691002878616334,1.100931858009,1.1018279724119289
1.049922,1.111108,3.841,4.182,0.3542106132297952,0.8572089355276449,3.0717043528964383,1.102336206084,1.103236201044007
1.050819,1.11241,3.882000000000001,4.331,0.3624931347106468,0.8554747568028558,3.073513638387905,1.104220570761,1.105122676190905
1.05235,1.114253,3.923,4.403,0.3754038767969433,0.8528172623242897,3.076297553427296,1.1074405224999997,1.1083456195562982
1.053003,1.115624,3.927,4.41,0.3832571628647003,0.8512410191392861,3.0780435000502897,1.108815318009,1.109722643735935
1.053713,1.117051,3.931000000000001,4.417,0.3915471674589052,0.8495807435350579,3.0799014627555814,1.1103110863689998,1.111220734709782
1.0543289999999998,1.11995,3.934999999999999,4.491,0.4053898891631461,0.8468865072767139,3.083114398948351,1.1116096402409996,1.1125240161948222
1.055569,1.121531,4.004,4.630999999999999,0.416489775991045,0.8446992144883413,3.085574460679221,1.114225913761,1.1151428731315076
1.056131,1.12299,4.009,4.739,0.4247130830897113,0.8431528660811209,3.087425984841808,1.115412689161,1.1163320358287327
1.0565099999999998,1.124218,4.078999999999999,4.845999999999999,0.4314018204852407,0.8419297453159008,3.088925187671697,1.1162133800999996,1.1171347384953003
1.057059,1.126599,4.1770000000000005,4.919,0.443876111291921,0.839714031719937,3.0917186913493517,1.117373729481,1.118298994729658
