Lambda11(-),Lambda22(-),Sigma11(KPa),Sigma22(KPa),Energy_exp,Lambda33(-),I1,I41,I42
1.050595,1.0379099999999999,3.2610000000000006,1.5439999999999998,119.25254698099998,0.9170752526598412,3.0220340411661115,1.103749854025,1.103749854025
1.050496,1.038351,3.305,1.516,124.29857637699997,0.9167721494727368,3.022185819265862,1.1035418460160002,1.1035418460160002
1.052299,1.040001,3.3400000000000003,1.5179999999999998,129.39197655499999,0.9137493592440338,3.0238731569208825,1.1073331854010002,1.1073331854010002
1.053323,1.041999,3.413,1.581,134.63436837299997,0.9111106652792123,3.0253739027155286,1.109489342329,1.109489342329
1.054942,1.04246,3.485,1.5829999999999997,139.96105542299998,0.9093101046402705,3.0264703413648997,1.112902623364,1.112902623364
1.055587,1.043863,3.492,1.585,145.30168808199997,0.9075330769331464,3.0275301630657445,1.114263914569,1.114263914569
1.057816,1.044357,3.5,1.5569999999999997,150.63010793099997,0.9051923736535743,3.029029466625592,1.1189746898560002,1.1189746898560002
1.058587,1.045798,3.507,1.4569999999999999,155.86630022599996,0.9032867436926311,3.030226834703837,1.1206064365689998,1.1206064365689998
1.059615,1.046379,3.5420000000000003,1.4889999999999999,161.17751488699997,0.901909345984855,3.031133428240828,1.122783948225,1.122783948225
1.061606,1.047062,3.55,1.4909999999999997,166.50738562899997,0.8996306373764149,3.0326814147862944,1.127007299236,1.127007299236
1.06322,1.048314,3.557,1.5239999999999998,171.88688970499996,0.8971921743121594,3.0343528086429803,1.1304367684,1.1304367684
1.064022,1.049186,3.564,1.588,177.34517148099997,0.8957708084943978,3.0353394204307067,1.132142816484,1.132142816484
1.065342,1.05031,3.61,1.5899999999999999,182.86104900099997,0.8937034832316023,3.0368105890042987,1.134953576964,1.134953576964
1.066805,1.051737,3.684,1.6219999999999997,188.49707603499996,0.8912669552695923,3.0385804107495296,1.138072908025,1.138072908025
1.067529,1.052546,3.759,1.686,194.28451010199996,0.8899779221732769,3.0395319499128632,1.1396181658409998,1.1396181658409998
1.070051,1.053855,3.8040000000000007,1.6879999999999997,200.13389134599996,0.8867774940578012,3.041993827593434,1.1450091426010003,1.1450091426010003
1.071104,1.055128,3.8400000000000003,1.7519999999999996,206.09551496199995,0.8848368698278909,3.04349516140682,1.147263778816,1.147263778816
1.073051,1.055888,3.886,1.7849999999999997,212.15015122799994,0.8825956490447618,3.0453129968577444,1.1514384486009999,1.1514384486009999
1.074216,1.057693,4.0,1.757,218.30538182899994,0.8801339084615899,3.047290193728874,1.1539400146560002,1.1539400146560002
1.074349,1.058319,4.075,1.7589999999999997,224.54493712499993,0.8795044131494393,3.0477928923113393,1.154225773801,1.154225773801
1.075913,1.0600749999999999,4.082000000000001,1.7919999999999998,230.83646839099993,0.8767711528763179,3.050075443710067,1.1575887835689997,1.1575887835689997
1.078107,1.060892,4.089,1.856,237.21386346599994,0.8743130478549321,3.05222984476238,1.1623147034489998,1.1623147034489998
1.079705,1.061732,4.136000000000001,1.92,243.71804878599994,0.8723283370756848,3.0539944545142292,1.1657628870249999,1.1657628870249999
1.080623,1.063134,4.25,1.9529999999999998,250.38699723799994,0.8704378862613377,3.0556620839241053,1.1677460681289997,1.1677460681289997
1.082764,1.063624,4.326,2.0479999999999996,257.24933625399996,0.8683165202950014,3.0576474724892195,1.172377879696,1.172377879696
