Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.174048,1.118223,0.7617031054594198,1.2695212,10.621556,4.0003786
1.17659,1.118801,0.7596647962917658,1.3071456,10.842139,4.085655
1.178114,1.119202,0.7584102702786987,1.3302569,10.977789,4.142241
1.179645,1.119657,0.7571181704012908,1.3539891,11.117115,4.204222
1.181137,1.12061,0.7555187241624766,1.3812833,11.273369,4.308468
1.182482,1.120676,0.7546149242577949,1.399632,11.385059,4.3361745
1.184923,1.121475,0.7525238588650333,1.4385629,11.615932,4.4455967
1.186385,1.12315,0.7504756255131363,1.4717231,11.80294,4.6161385
1.188779,1.125295,0.7475366435422832,1.5215449,12.089918,4.848805
1.191145,1.126635,0.7451644525257077,1.5647292,12.346296,5.0139155
1.192237,1.127704,0.7437762105439079,1.5885196,12.484666,5.1323786
1.193095,1.127788,0.7431859746145374,1.6009555,12.562439,5.1570272
1.194097,1.128711,0.7419551184867745,1.6224256,12.688494,5.262015
1.195959,1.129603,0.7402149828840464,1.6555657,12.889848,5.3829927
1.197735,1.130608,0.7384603898916041,1.6886439,13.090622,5.5146194
1.200405,1.131044,0.736533837961373,1.7294984,13.348972,5.613499
1.203648,1.13158,0.7342014510615572,1.7795167,13.667472,5.7368183
1.205682,1.132205,0.7325582341283398,1.8135648,13.882835,5.8435845
1.207329,1.132991,0.7310513904640863,1.8436818,14.071739,5.9585185
1.208274,1.13408,0.7297781869256025,1.8665643,14.210468,6.08796
1.210534,1.13498,0.7278381228732607,1.906672,14.46596,6.2320647
1.213041,1.135556,0.7259654689530806,1.9477048,14.7328,6.3520455
1.215216,1.136527,0.7240470084201416,2.0091004,15.536188,6.625259
1.21719,1.137003,0.7225701453507402,2.063931,16.316113,6.8480196
1.21903,1.138045,0.7208189098414046,2.1195102,17.052395,7.113723
1.220027,1.138546,0.7199129339210957,2.14924,17.453354,7.252734
1.222375,1.139307,0.7180501464811843,2.216393,18.401466,7.542347
1.22521,1.139318,0.7163817414516185,2.2911534,19.552076,7.806951
1.226473,1.140146,0.7151243073290926,2.330583,20.074549,8.0062275
1.227516,1.140142,0.7145191848216464,2.3624072,20.51511,8.1238365
1.229058,1.141351,0.7128668153379356,2.4257483,21.199898,8.454274
1.231456,1.141954,0.7111029672317486,2.5089583,22.247868,8.815809
1.233769,1.143263,0.708957167780493,2.5985227,23.286793,9.261448
1.235421,1.143507,0.707858079053059,2.65416,24.019869,9.4945755
1.236611,1.14432,0.7066744770726913,2.7022538,24.566824,9.746593
1.2408,1.145302,0.703684842072647,2.8488517,26.470612,10.398226
1.242713,1.14608,0.7021246569261229,2.9202762,27.360956,10.744688
1.244663,1.146195,0.7009543106717474,2.9847608,28.258375,11.008503
1.246623,1.146815,0.6994738774180577,3.056149,29.182114,11.345318
1.249794,1.147277,0.697418201298216,3.1652417,30.67856,11.820728
1.251649,1.14761,0.6961825275108274,3.2301068,31.565456,12.110472
1.255184,1.148463,0.6937062339726257,3.3570209,33.28235,12.700321
1.255964,1.149605,0.692586727616481,3.3973851,33.69472,12.971275
1.257367,1.150552,0.6912445024711653,3.4558969,34.405956,13.300005
1.260374,1.151191,0.6892125527763266,3.5637383,35.90071,13.804394
1.261931,1.152238,0.6877366945832184,3.6338296,36.740417,14.205563
