Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.105235,1.1162459999999998,0.8105605352545626,0.53818274,6.3087473,4.0389795
1.1063839999999998,1.118809,0.807863826200359,0.5588088,6.4028773,4.143994
1.108291,1.121,0.8048975044684912,0.58338404,6.5273347,4.2157817
1.110502,1.122248,0.8024016533059266,0.6057935,6.651559,4.233363
1.1124159999999998,1.124412,0.7994794433337236,0.6308007,6.7784934,4.307215
1.114019,1.125292,0.7977047363712824,0.6472192,6.869636,4.3202996
1.116135,1.127069,0.7949371038923565,0.6722064,7.0016937,4.3719606
1.117492,1.128505,0.7929614776128217,0.6898942,7.0924497,4.4223685
1.1190479999999998,1.1303789999999998,0.7905461062764345,0.7115159,7.2015734,4.494192
1.12096,1.133206,0.7872288817298762,0.7420535,7.351114,4.62312
1.122371,1.135514,0.784641130883128,0.77601004,7.5111437,4.8232193
1.1247189999999998,1.137377,0.7817205456510343,0.81740713,7.721518,5.0022025
1.1262249999999998,1.13923,0.7794054233516051,0.84946585,7.879179,5.174795
1.1263649999999998,1.140374,0.7785267617351789,0.86030054,7.924815,5.2732553
1.127314,1.141595,0.7770394020596769,0.8811307,8.027527,5.389569
1.12998,1.1425249999999998,0.7745750993836302,0.9196315,8.238365,5.50521
1.132439,1.14406,0.7718561712971889,0.9610362,8.458338,5.6741586
1.1341469999999998,1.146007,0.7693844087698618,0.9973607,8.643362,5.872951
1.135371,1.1478069999999998,0.7673497109355365,1.0269847,8.791736,6.0549984
1.137309,1.1506029999999998,0.7641806243628156,1.0738397,9.028545,6.344871
1.1387919999999998,1.1523979999999998,0.7619967105435694,1.1070628,9.200357,6.539292
1.141357,1.154896,0.7586397878838191,1.1597877,9.480312,6.8249645
1.142582,1.156226,0.7569547017431756,1.1863647,9.621185,6.977709
1.145165,1.158596,0.7537024189839023,1.239016,9.90612,7.2630544
1.14649,1.160631,0.7515113822822127,1.273541,10.0865555,7.4959025
1.1486459999999998,1.16264,0.7488046538677452,1.318461,10.332959,7.7478495
1.149887,1.164238,0.7469698378015139,1.3484921,10.494513,7.941841
1.151784,1.165288,0.7450676111789734,1.3819766,10.68739,8.094926
1.1537449999999998,1.166257,0.7431832358611757,1.4157243,10.884251,8.243088
1.155825,1.169242,0.739951932988076,1.4698606,11.178772,8.616852
1.15712,1.1708999999999998,0.7380772070799485,1.5019612,11.356327,8.832109
1.157884,1.173401,0.7360180977986943,1.535316,11.528671,9.1326885
1.160569,1.174431,0.733671295414267,1.5799146,11.799283,9.319126
1.161991,1.176804,0.7312958346913911,1.6211085,12.026854,9.631606
1.164169,1.178661,0.7287776676211442,1.667584,12.29915,9.909603
1.165308,1.181067,0.7265821710875103,1.7059474,12.510281,10.229479
1.1671699999999998,1.1828839999999998,0.7243087409215224,1.7484231,12.760036,10.503925
1.170545,1.1850029999999998,0.7209289007562544,1.814465,13.163827,10.866145
1.171497,1.186573,0.7193899350035845,1.8428607,13.327021,11.092165
1.173585,1.18772,0.7174165322284404,1.8825555,13.574825,11.302696
1.17468,1.1909919999999998,0.7147786651907013,1.9406981,13.862074,11.818306
1.17672,1.194299,0.71156371913089,2.0289931,14.280975,12.478525
1.1783739999999998,1.19596,0.7095780848576876,2.0852666,14.563087,12.857027
1.181361,1.197237,0.707029021146753,2.1605964,14.970221,13.261993
1.182619,1.200303,0.7044728435645488,2.2323909,15.315252,13.873568
1.184603,1.202224,0.7021692043360912,2.300136,15.670688,14.345122
1.185949,1.204959,0.6997803076366772,2.3693004,16.016968,14.929786
1.1884469999999998,1.206573,0.6973753278859302,2.44274,16.424725,15.4014845
1.190022,1.2075239999999998,0.695903848797187,2.488213,16.68126,15.691215
1.190745,1.209871,0.6941321602206098,2.5402713,16.941933,16.186516
1.193904,1.21258,0.6907488840364366,2.6456237,17.534481,16.944355
1.196001,1.214575,0.6884051641447022,2.7282462,18.035591,17.645
1.1974749999999998,1.2166769999999998,0.6863699263923422,2.8135648,18.594154,18.541561
1.199936,1.218,0.6842182103023602,2.8987813,19.164654,19.257896
1.2015,1.2196189999999998,0.6824204666575611,2.9740815,19.673239,20.013988
1.2031999999999998,1.2230329999999998,0.6795540441481104,3.1010423,20.539131,21.49007
1.204443,1.224255,0.6781751336783974,3.1599584,20.9496,22.093227
1.207278,1.2257429999999998,0.6757612610430286,3.259746,21.659534,22.97572
1.2098019999999998,1.227078,0.6736177649580188,3.3495193,22.308361,23.781033
1.210974,1.229032,0.6718958993405941,3.4281344,22.875204,24.706839
1.213334,1.231417,0.6692902333914618,3.5445724,23.732323,25.962708
1.215298,1.234085,0.6667639998396566,3.66124,24.601154,27.322605
1.218243,1.235313,0.6644909394622375,3.7963233,26.300892,28.446991
1.2206249999999998,1.2366309999999998,0.6624873807592225,3.9203582,27.894562,29.546337
1.222758,1.2394539999999998,0.6598254668425867,4.0877585,29.93229,31.3443
1.2243769999999998,1.241296,0.6579751342211893,4.20532,31.393288,32.586067
1.226877,1.244409,0.6549917527670296,4.397205,33.784607,34.67629
1.228783,1.245226,0.6535466992692244,4.490645,35.054737,35.501175
1.229266,1.245439,0.6531781811250127,4.51459,35.381042,35.714565
1.232576,1.246347,0.6509495336293689,4.719444,37.846024,37.36834
1.234352,1.248641,0.6488187377929884,4.949206,40.281364,39.665497
1.235842,1.251246,0.6466873225676395,5.1808248,42.718254,42.105194
1.237329,1.253116,0.6449462664174008,5.372318,44.786915,44.059486
1.239864,1.255073,0.64262403233672,5.631246,47.689835,46.5506
1.2406899999999998,1.2562449999999998,0.6415970699760073,5.746095,48.94323,47.76543
1.243324,1.257358,0.6396711054795133,5.965136,51.515617,49.72991
1.246868,1.258649,0.6371987067410267,6.2498355,54.922256,52.255287
1.249035,1.261307,0.6347527423185348,6.5316863,58.120636,55.259483
1.252152,1.2630869999999998,0.6322803473158497,6.822124,61.606125,58.061455
1.254224,1.2657759999999998,0.6298948190109684,7.1032557,64.85694,61.154884
1.255567,1.2681079999999998,0.628063948250124,7.365991,66.67186,63.364655
1.258235,1.269053,0.6262654862702777,7.670957,68.14519,64.81439
1.259919,1.2699779999999998,0.6249728871988738,7.889664,69.19388,65.967606
1.262951,1.272146,0.6224099720562951,8.324314,71.27585,68.42543
1.264492,1.273162,0.6211553729102816,8.539471,72.320015,69.6292
