Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.070851,1.155131,0.8084249609685135,0.50295115,5.3667817,6.664037
1.071298,1.156633,0.8070382648762663,0.51373625,5.410556,6.7627096
1.072109,1.15832,0.8052532811553824,0.52770376,5.4730196,6.8844814
1.0735,1.159762,0.8032099437211115,0.54376936,5.5563064,7.0121217
1.0749769999999998,1.162271,0.8003748361745663,0.5665097,5.6632013,7.2071934
1.0753659999999998,1.164453,0.7985860779233339,0.5812173,5.718946,7.3500705
1.076295,1.165734,0.7970199897416189,0.5940566,5.782328,7.458305
1.077589,1.167696,0.7947253348733186,0.61310816,5.8748736,7.6218114
1.077615,1.170196,0.7930083545855016,0.62786627,5.922536,7.777507
1.0788019999999998,1.172984,0.7902530285230235,0.6514859,6.0280395,7.994333
1.0794709999999998,1.173235,0.7895943101062771,0.65703535,6.062873,8.03387
1.081206,1.175084,0.7870868198349994,0.67869234,6.1771855,8.214359
1.081837,1.176993,0.785351882981402,0.69408846,6.243542,8.361376
1.082283,1.178645,0.7839279428459387,0.706882,6.2968726,8.486361
1.083435,1.179753,0.7823589378343234,0.72081614,6.372566,8.602448
1.08492,1.182444,0.7795100212856088,0.7572818,6.538928,8.944785
1.0854549999999998,1.184342,0.7778772061053567,0.7795148,6.631777,9.166134
1.0867909999999998,1.186383,0.7755843761561924,0.81049204,6.7779737,9.457771
1.087235,1.189361,0.7733264806664231,0.8423629,6.9044166,9.790297
1.088079,1.192635,0.7706053524352484,0.881042,7.06747,10.187756
1.088753,1.194096,0.7691860367505571,0.90119123,7.159589,10.388521
1.089804,1.196973,0.7665972345314107,0.938602,7.326256,10.770613
1.090406,1.198083,0.7654641605126922,0.95497084,7.403776,10.933995
1.091901,1.20095,0.762591235815389,0.99699545,7.602935,11.3578205
1.093322,1.202802,0.760427424799306,1.0287042,7.763406,11.669629
1.094153,1.206166,0.7577306633266013,1.0736108,8.076523,12.399248
1.095175,1.2078,0.7559994043178294,1.1014228,8.268295,12.796755
1.096001,1.209797,0.754182665881221,1.1316342,8.481152,13.265992
1.0963969999999998,1.21053,0.7534537602270869,1.1438069,8.56616,13.439913
1.097193,1.212972,0.7513913583684848,1.1793218,8.819942,14.005429
1.098471,1.214387,0.749642662803506,1.209209,9.024006,14.336512
1.099156,1.216568,0.747832398478011,1.241034,9.255775,14.857576
1.100212,1.218554,0.7458969698839154,1.2751069,9.499991,15.339814
1.101173,1.221098,0.7436933974651855,1.326572,9.796415,16.038584
1.10246,1.223182,0.741559627063699,1.3965011,10.092644,16.751587
1.1037,1.224976,0.7396416818534927,1.4589791,10.364621,17.381023
1.105337,1.226488,0.7376358040910574,1.5202546,10.64591,17.933197
1.105209,1.228661,0.736416505665662,1.5740905,10.860616,18.691978
1.106763,1.229937,0.734619583500822,1.6288657,11.122257,19.180359
1.10773,1.2327,0.7323331380720812,1.7142272,11.502063,20.204865
1.108679,1.234123,0.7308625895591208,1.7649703,11.741171,20.754786
1.109554,1.235695,0.72935718766383,1.8188148,11.994881,21.3668
1.110058,1.237114,0.7281898266929094,1.8634906,12.201959,21.918709
1.111399,1.240082,0.7255704626015685,1.9617724,12.671344,23.10498
1.112436,1.241795,0.7238941355956203,2.022822,12.974068,23.813412
1.113851,1.244327,0.7215033902943909,2.111937,13.420684,24.87753
1.113773,1.245915,0.7206342512092483,2.1536126,13.610003,25.52007
1.11496,1.247086,0.7191911079801493,2.2032914,13.877128,26.04808
1.115394,1.247936,0.7184216023904156,2.2329917,14.02964,26.418037
1.1168479999999998,1.249877,0.716372082635068,2.3082118,14.431574,27.293306
1.117775,1.25312,0.7139255857428171,2.4116645,14.959163,28.722183
1.119079,1.255049,0.7119976691559062,2.4853768,15.363223,29.62569
1.120159,1.256427,0.7105310591244653,2.5406585,15.673784,30.288315
1.12152,1.257795,0.7088969589094862,2.6003919,16.020123,30.969746
1.12326,1.259922,0.7066039273683979,2.68788,16.525831,32.027573
1.123587,1.262514,0.7049480143198428,2.766357,16.940681,33.241653
1.124096,1.263476,0.7040923095589632,2.801869,17.143606,33.720276
1.124883,1.2655,0.7024743918992933,2.8722787,17.540989,34.72232
1.1259009999999998,1.268294,0.7002931160691807,2.968964,18.091385,36.12648
1.127028,1.268944,0.6992344830508427,3.0062099,18.335617,36.514095
1.1271799999999998,1.271058,0.697977394469936,3.0755057,18.648561,37.457237
1.1283569999999998,1.271988,0.6967395414036053,3.129335,18.904806,37.862488
1.131497,1.273377,0.6940481355515266,3.2303042,19.498196,38.628906
